PLATAFORMA,TIPO,ESTADO,VENDEDOR,DIRECCIÓN,BARRIO/ZONA,Mts2 total,Mts2 Cubiertos,AMBIENTES,HABITACIONES,BAÑOS,PRECIO(u$d)
propia,departamento,,Romero Y Asociados,Belgrano 75,Barrio Centro 1,,,6.0,3.0,1.0,
propia,casa,,Romero Y Asociados,Libertad 700,Ciudad Nueva,221.0,221.0,7.0,3.0,3.0,
propia,casa,,Romero Y Asociados,Roca 200,Barrio Centro 1,140.0,140.0,6.0,3.0,2.0,
propia,departamento,,Proin,Brown Y Francia,Barrio Centro 2,71.0,71.0,3.0,2.0,1.0,80000.0
propia,casa,,Romero Y Asociados,Uruguay 200,General San Martín,,,5.0,2.0,1.0,
propia,departamento,,Proin,Maipu E Italia,Barrio Centro 1,89.0,83.0,3.0,2.0,1.0,
propia,casa,,Romero Y Asociados,Vuelta De Obligado 1000,Tiro Federal,101.0,101.0,2.0,1.0,1.0,
propia,casa,,Broker,Barberis 1000,San Cayetano,,,5.0,3.0,3.0,
propia,casa quinta,3.0,Proin,Francia 1300,Barrio Centro 2,155.0,,2.0,1.0,1.0,200000.0
propia,casa quinta,3.0,Broker,Calle 35 1600,Villa Casey,1200.0,,4.0,2.0,2.0,
propia,casa,5.0,Broker,Calle 35 Este 1600,Villa Casey,130.0,108.0,5.0,2.0,2.0,
propia,casa,5.0,Broker,Calle 35 Este 1600,Villa Casey,,100.0,3.0,2.0,1.0,
propia,casa,10.0,Proin,Valdez 200,Barrio San Vicente,158.0,158.0,7.0,2.0,2.0,71000.0
propia,casa ,10.0,Proin,Las Heras 1100,M.M De Guemes,52.0,32.0,2.0,1.0,1.0,45000.0
propia,departamento,,Mrvt Gestiones Inmobiliarias,Pavon 31,Barrio Centro 3,48.0,42.0,2.0,1.0,1.0,65000.0
propia,casa,11.0,Proin,Jauretche 2200,El Cruce,167.0,63.0,5.0,3.0,2.0,78000.0
propia,casa,13.0,Broker,Alvear 100,Barrio Centro 1,385.0,287.0,10.0,5.0,4.0,220000.0
propia,departamento,,Proin,Castelli 3000,Malvinas Argentinas,50.0,42.0,2.0,1.0,1.0,26000.0
propia,casa,15.0,Proin,Balcarce 1500,Malvinas Argentinas,170.0,162.0,6.0,4.0,4.0,90000.0
propia,departamento,15.0,Proin,Vieytes 1600,Bernardino Rivadavia,49.0,49.0,2.0,1.0,1.0,31000.0
propia,departamento,15.0,Pascual,,,,,,1.0,1.0,40000.0
propia,departamento,16.0,Mrvt Gestiones Inmobiliarias,Chacabuco 1035,Barrio Centro 2,110.0,110.0,4.0,2.0,1.0,140000.0
propia,casa,20.0,Proin,Turner 1200,Tiro Federal,372.0,75.0,4.0,2.0,1.0,31000.0
propia,casa,20.0,Mercurio,Chacabuco 641,Barrio Centro 1,266.0,143.0,3.0,2.0,1.0,165000.0
propia,casa,20.0,Pascual,,,,,,2.0,1.0,60000.0
propia,casa,20.0,Pascual,,,,,,2.0,1.0,70000.0
propia,casa,25.0,Mrvt Gestiones Inmobiliarias,Balcarce 1055,Barrio Centro 1,427.0,,4.0,2.0,1.0,90000.0
propia,casa,30.0,Proin,Italia 200,Barrio Centro 1,610.0,186.0,6.0,3.0,2.0,165000.0
propia,casa,31.0,Proin,Falucho 500,General San Martín,368.0,214.0,6.0,3.0,2.0,95000.0
propia,departamento,35.0,Mrvt Gestiones Inmobiliarias,,,80.0,80.0,3.0,2.0,1.0,90000.0
propia,casa,35.0,Tu Espacio,Mitre 111,Barrio Centro 1,750.0,320.0,14.0,3.0,3.0,450000.0
propia,casa,,Proin,Iturraspe 800,Barrio Centro 1,154.0,185.0,7.0,3.0,2.0,129500.0
propia,casa,40.0,Proin,Uruguay 700,General San Martín,408.0,131.0,5.0,3.0,1.0,59500.0
propia,casa,41.0,Proin,Brown 1600,Barrio Centro 2,600.0,284.0,8.0,4.0,2.0,195000.0
propia,casa,49.0,Proin,Antartida Argentina 100,General Belgrano,239.0,123.0,5.0,3.0,1.0,85000.0
propia,casa,50.0,Proin,Edison Y Roca,Barrio Centro 2,180.0,79.0,6.0,2.0,1.0,45000.0
propia,casa,50.0,Proin,Brown 1400,Barrio Centro 2,,181.0,5.0,2.0,1.0,65000.0
propia,casa,50.0,Proin,Chile 200,General Belgrano,,180.0,8.0,3.0,2.0,59000.0
propia,casa,50.0,Pascual,,,,,3.0,2.0,1.0,40000.0
propia,casa,60.0,Proin,Falucho 47,Barrio Centro 3,,97.0,4.0,2.0,1.0,55000.0
propia,casa,63.0,Proin,Laprida 400,Provincias Unidas,487.0,90.0,4.0,2.0,1.0,59000.0
propia,casa,,Hugo Pena,Dorrego 814,Barrio Centro 2,110.0,90.0,,2.0,1.0,72000.0
propia,casa,,Hugo Pena,Alsina Y Liniers,General Belgrano,202.0,152.0,,3.0,1.0,70000.0
propia,casa,,Hugo Pena,Ituzaingo 1334,Tiro Federal,261.0,118.0,,2.0,1.0,70000.0
propia,casa,,Hugo Pena,Balcarce 1213,Barrio Centro 1,262.0,145.0,,3.0,1.0,70000.0
propia,casa,,Mario Ceballos,Pellegrini 1346,Barrio Centro 2,360.0,,3.0,2.0,1.0,60000.0
propia,casa,,Hugo Pena,Garibaldi 662,Barrio Centro 3,147.0,125.0,,3.0,1.0,75000.0
propia,casa,,Hugo Pena,Colon 2354,Bernardino Rivadavia,690.0,118.0,,2.0,2.0,75000.0
propia,casa,,Hugo Pena,Libertad 134,San Cayetano,121.0,,,2.0,1.0,75000.0
propia,casa,,Hugo Pena,Castelli 1050,Barrio Centro 1,272.0,,,,,83000.0
propia,casa,,Hugo Pena,Falucho 171,Barrio Centro 3,224.0,142.0,,3.0,2.0,82000.0
propia,casa,,Hugo Pena,San Juan 53,Provincias Unidas,240.0,111.0,,2.0,1.0,82000.0
propia,casa,,Hugo Pena,Catamarca 648,Ciudad Nueva,300.0,69.0,,3.0,1.0,85000.0
propia,casa,,Mario Ceballos,Rodriguez Peña 646,M.M De Guemes,409.0,,3.0,1.0,1.0,65000.0
propia,casa,,Hugo Pena,Balcarce 935,Barrio Centro 1,344.0,98.0,,2.0,1.0,100000.0
propia,casa,,Hugo Pena,Garibaldi 660,Barrio Centro 3,133.0,95.0,,2.0,1.0,100000.0
propia,departamento,,Hugo Pena,Uruguay 1231,Tiro Federal,250.0,119.0,,2.0,,100000.0
propia,casa,,Hugo Pena,Hipólito Yrigoyen 2060,Bernardino Rivadavia,138.0,,,3.0,1.0,95000.0
propia,casa,,Mario Ceballos,Azcuénaga 650,Barrio Centro 2,315.0,,5.0,2.0,2.0,110000.0
propia,casa,,Mario Ceballos,Roca 650,Barrio Centro 1,,,4.0,2.0,1.0,88000.0
propia,casa,,Hugo Pena,Saavedra 1585,Barrio Norte,220.0,187.0,,3.0,1.0,115000.0
propia,casa,,Hugo Pena,Castelli 225,Barrio Centro 1,198.0,110.0,,2.0,1.0,110000.0
propia,casa,,Hugo Pena,Hipólito Yrigoyen 1127,Barrio Centro 2,,,,,,160000.0
propia,casa,,Hugo Pena,España 840,Barrio Centro 1,,,,2.0,2.0,140000.0
propia,departamento,,Hugo Pena,Castelli 319,Barrio Centro 1,,,,,,130000.0
propia,casa,,Tu Espacio,Chacabuco 1628,Barrio Centro 2,150.0,115.0,8.0,3.0,1.0,95000.0
propia,casa,,Hugo Pena,Hipólito Yrigoyen 1056,Barrio Centro 2,500.0,312.0,,3.0,1.0,600000.0
propia,casa,,Pascual,,,,,2.0,2.0,1.0,50000.0
propia,casa,,Mario Ceballos,Francia 1176,Barrio Centro 2,300.0,,4.0,2.0,1.0,90000.0
propia,casa,,Ruben Zacco,9 De Julio Y 26 De Abril,Bernardino Rivadavia,260.0,153.0,1.0,3.0,1.0,125000.0
propia,casa,,Ruben Zacco,Maipu 1527,Barrio Centro 2,200.0,129.0,,3.0,1.0,105000.0
propia,casa,,Di Nardo ,Balcarce 600,Barrio Centro 1,273.0,174.0,8.0,3.0,3.0,130000.0
propia,departamento,,Di Nardo ,Jujuy 575,San Cayetano,42.0,42.0,3.0,1.0,1.0,36000.0
propia,casa,,Di Nardo ,Alvear 600,Barrio Centro 1,250.0,200.0,10.0,3.0,2.0,250000.0
propia,casa,,Ugolini Hnos,Iturraspe 305,Barrio Centro 1,180.0,130.0,,2.0,1.0,95000.0
propia,casa,,Mario Ceballos,Laprida 117,General Belgrano,193.0,,5.0,3.0,2.0,70000.0
propia,galpón,,Ugolini Hnos,Hipólito Yrigoyen 2020,Bernardino Rivadavia,400.0,150.0,,,,80000.0
propia,casa,,Ezequiel Thione,Quintana 1107,San José Obrero,233.0,115.0,,2.0,1.0,93000.0
propia,casa,,Ezequiel Thione,Alvear 1185,Barrio Centro 2,350.0,262.0,,4.0,2.0,75000.0
propia,casa,,Hugo Pena,Pellegrini 1382,Barrio Centro 2,,,,,,92000.0
propia,departamento,,Hugo Pena,San Juan 3070,M.M De Guemes,,,,,,38000.0
propia,casa,,Hugo Pena,Edison 1133,Barrio Centro 2,252.0,160.0,,2.0,1.0,80000.0
propia,casa,,Hugo Pena,Saavedra 1690,Barrio Norte,307.0,147.0,,2.0,1.0,80000.0
propia,casa,,Hugo Pena,Almafuerte 1397,Barrio Centro 1,,,,,,80000.0
propia,casa,,Hugo Pena,Chile 275,General San Martín,,,,,,80000.0
propia,casa,,Hugo Pena,Sarmiento 356,Barrio Centro 3,129.0,154.0,,3.0,1.0,75000.0
propia,casa,,Mario Ceballos,Velez Sarfield 340,Barrio Norte,400.0,,4.0,2.0,1.0,85000.0
propia,casa,,Hugo Pena,Avellaneda 570,Barrio Norte,,,,,,93000.0
propia,casa,,Hugo Pena,Derqui 26,General Belgrano,,,,,,90000.0
propia,casa,,Hugo Pena,Islas Malvinas 727,Ciudad Nueva,287.0,127.0,,2.0,1.0,85000.0
propia,casa,,Hugo Pena,Casey 99,Barrio Centro 1,238.0,155.0,,2.0,1.0,125000.0
propia,casa,,Hugo Pena,Agüero 656,Barrio Norte,203.0,,,2.0,1.0,130000.0
propia,casa,,Hugo Pena,Caseros 728,San Cayetano,250.0,134.0,,2.0,1.0,135000.0
propia,casa,,Hugo Pena,25 De Mayo 1560,Barrio Centro 2,,,,,,135000.0
propia,casa,,Hugo Pena,Lisandro De La Torre 923,Barrio Centro 2,200.0,200.0,,,,125000.0
propia,casa,,Hugo Pena,Tucuman 124,Barrio Centro 3,160.0,130.0,,2.0,1.0,120000.0
propia,casa,,Hugo Pena,Falucho 574,General San Martín,,,,,,120000.0
propia,casa,,Hugo Pena,Mitre Y Italia,Barrio Centro 1,497.0,205.0,,,,280000.0
propia,casa,,Hugo Pena,Estrugamou 676,San José Obrero,,,,3.0,1.0,280000.0
propia,casa,,Hugo Pena,Iturraspe 2174,Bernardino Rivadavia,581.0,254.0,,1.0,,210000.0
propia,casa,,Hugo Pena,Chacabuco 2240,Bernardino Rivadavia,425.0,228.0,,3.0,2.0,200000.0
propia,casa,,Hugo Pena,Lisandro De La Torre 640,Barrio Centro 2,381.0,230.0,,3.0,2.0,195000.0
propia,casa,,Hugo Pena,Quintana 1350,San José Obrero,,,,3.0,2.0,180000.0
propia,casa,,Hugo Pena,Belgrano 2268,Barrio Norte,,,,,,110000.0
propia,casa,,Mario Ceballos,Saavedra 1146,Barrio Centro 1,,,4.0,2.0,1.0,88000.0
propia,casa,,Hugo Pena,Rivadavia 784,Barrio Centro 2,216.0,191.0,,2.0,1.0,110000.0
propia,casa,,Hugo Pena,Libertad 1249,Ciudad Nueva,522.0,229.0,,2.0,1.0,110000.0
propia,casa,,Hugo Pena,Uruguay 669,General San Martín,196.0,225.0,,2.0,1.0,105000.0
propia,casa,,Hugo Pena,Guemes 226,General Belgrano,485.0,155.0,,3.0,1.0,110000.0
propia,casa,,Hugo Pena,Uruguay 659,General San Martín,268.0,136.0,,2.0,3.0,110000.0
propia,casa,,Hugo Pena,Suipacha 195,General Belgrano,200.0,122.0,,2.0,1.0,110000.0
propia,casa,,Romero Y Asociados,Moreno 1371,Barrio Centro 2,600.0,234.0,,3.0,3.0,250000.0
propia,departamento,,Di Nardo ,Santa Fe 1180,Barrio Centro 1,40.0,40.0,2.0,1.0,1.0,40000.0
propia,departamento,,Di Nardo ,Santa Fe 1078,Barrio Centro 1,40.0,40.0,2.0,1.0,1.0,40000.0
propia,casa,,Ana Rhode ,Belgrano Y Lopez,Barrio Centro 1,638.0,210.0,5.0,3.0,2.0,190000.0
mercado libre,departamento,3.0,Remax Tendencia,Alvear 0,Barrio Centro 1,65.0,65.0,,1.0,1.0,77000.0
mercado libre,departamento,0.0,Estudio Yacoub,Saavedra E/ Azcoaga Y José Valdez,,69.0,60.0,3.0,2.0,1.0,45000.0
mercado libre,departamento,0.0,Proin,Santa Fe 1000,Barrio Centro 1,51.0,51.0,2.0,1.0,1.0,70000.0
mercado libre,departamento,15.0,Proin,Castelli 3000,Malvinas Argentinas,42.0,42.0,2.0,1.0,1.0,26000.0
mercado libre,departamento,,Proin,25 De Mayo 85,Bernardino Rivadavia,54.0,51.0,2.0,1.0,1.0,68000.0
mercado libre,departamento,,Carla,Alvear 1608,Barrio Centro 2,79.0,,,2.0,1.0,67000.0
mercado libre,casa,,Agustin,Pringles 136,General Belgrano,170.0,,,2.0,2.0,80000.0
