PLATAFORMA,TIPO,ESTADO,VENDEDOR,DIRECCIÓN,BARRIO/ZONA,Mts2 total,Mts2 Cubiertos,AMBIENTES,HABITACIONES,BAÑOS,PRECIO(u$d)
argenprop,casa,31.0,Remax Tendencia,Garbarino 500,Bernardino Rivadavia,248.0,109.0,4.0,2.0,1.0,
argenprop,casa,41.0,Remax Tendencia,Sarmiento 200,Barrio Centro 3,1085.0,416.0,8.0,4.0,6.0,
argenprop,galpón,33.0,Remax Tendencia,Avenida Doctor Luis Chapuis 2500,Malvinas Argentinas,236.0,236.0,,,1.0,120000.0
argenprop,casa quinta,,Remax Tendencia,Pueyrredon 2019,Bernardino Rivadavia,1187.0,,,4.0,1.0,
argenprop,casa,9.0,Remax Tendencia,Pasaje Gatti 2600,Bernardino Rivadavia,67.0,55.0,2.0,1.0,1.0,31000.0
argenprop,casa quinta,,Remax Tendencia,Alberto De Brouckere 500,Cumelén,5179.0,90.0,,1.0,1.0,42000.0
argenprop,casa,39.0,Remax Tendencia,Belgrano 2047,Barrio Norte,783.0,724.0,,,,
argenprop,casa,43.0,Remax Tendencia,Chaco 480,Ciudad Nueva,205.0,117.0,3.0,2.0,2.0,49000.0
argenprop,departamento,62.0,Remax Tendencia,Belgrano 87,Barrio Centro 1,72.0,72.0,4.0,2.0,1.0,
argenprop,casa,0.0,Remax Tendencia,Huhn 300,Malvinas Argentinas,125.0,60.0,3.0,2.0,1.0,45000.0
argenprop,casa,23.0,Remax Tendencia,Rivadavia 1934,Bernardino Rivadavia,400.0,360.0,12.0,4.0,4.0,160000.0
argenprop,casa,28.0,Remax Tendencia,Velez Sarfield 1700,San José Obrero,350.0,135.0,4.0,3.0,2.0,59000.0
argenprop,casa,35.0,Remax Tendencia,Gutierrez 166,Alejandro Gutierrez,36.0,36.0,2.0,1.0,1.0,15000.0
argenprop,casa,88.0,Remax Tendencia,Laprida 100,Barrio Centro 1 ,169.0,154.0,4.0,3.0,2.0,98000.0
argenprop,casa,,Urbánica Real Estate,Dean Funes 1500,San José Obrero,1200.0,,3.0,2.0,1.0,120000.0
argenprop,casa,14.0,Remax Tendencia,Cerrito 284,Barrio Centro 3,166.0,107.0,6.0,2.0,1.0,
argenprop,casa,10.0,Remax Tendencia,Sinclair 1326,Villa Casey,310.0,96.0,4.0,2.0,1.0,37000.0
argenprop,departamento,10.0,Ana Rhode ,Sarmiento 900,Barrio Centro 3,,,1.0,,,45000.0
argenprop,casa,78.0,Remax Tendencia,San Martín 1300,Barrio Centro 1 ,340.0,160.0,4.0,2.0,2.0,110000.0
argenprop,casa,45.0,Remax Tendencia,Agüero 1100,San José Obrero,219.0,129.0,4.0,3.0,1.0,39000.0
argenprop,casa,24.0,Remax Tendencia,Chaco 3600,,2030.0,172.0,4.0,2.0,1.0,
argenprop,casa,61.0,Remax Tendencia,Lavalle 600,Barrio Centro 2,13.0,13.0,1.0,,,
argenprop,casa,0.0,Remax Tendencia,Favaloro 800,San Cayetano,275.0,77.0,3.0,2.0,1.0,
argenprop,departamento,0.0,Remax Tendencia,9 De Julio 700,Barrio Centro 1,69.0,69.0,3.0,2.0,1.0,108500.0
argenprop,casa,,Remax Tendencia,España 800,Barrio Centro 1,330.0,295.0,4.0,2.0,2.0,230000.0
argenprop,casa,45.0,Remax Tendencia,2 De Abril 100,Alejandro Gutierrez,232.0,81.0,4.0,2.0,1.0,32000.0
argenprop,casa,50.0,Remax Tendencia,San Lorenzo 200,Barrio Centro 3,180.0,120.0,4.0,3.0,1.0,84000.0
argenprop,departamento,11.0,Remax Tendencia,Maipu 1000,Barrio Centro 2,160.0,160.0,5.0,4.0,4.0,230000.0
argenprop,casa quinta,,Remax Tendencia,Las Gaviotas 1095,Los Robles,1350.0,,,2.0,1.0,107000.0
argenprop,departamento,9.0,Remax Tendencia,Edison 2631,Barrio San Vicente,76.0,,3.0,2.0,2.0,47000.0
argenprop,casa,36.0,Remax Tendencia,Juan Bautista Alberdi 958,Barrio Centro 3,1114.0,331.0,4.0,3.0,2.0,225000.0
argenprop,casa quinta,15.0,Remax Tendencia,,,3000.0,342.0,10.0,5.0,4.0,
argenprop,casa,32.0,Remax Tendencia,Croacia 440,San Cayetano,280.0,216.0,9.0,4.0,2.0,54000.0
argenprop,departamento,0.0,Remax Tendencia,Alsina 864,Provincias Unidas,84.0,84.0,4.0,2.0,1.0,76500.0
argenprop,departamento,0.0,Remax Tendencia,España 660,Barrio Centro 1,56.0,56.0,2.0,1.0,1.0,87589.0
argenprop,departamento,7.0,Remax Tendencia,Agüero 900,Barrio Norte,68.0,68.0,3.0,2.0,1.0,80000.0
argenprop,casa quinta,,Remax Tendencia,Los Ciruelos 1264,Villa Casey,570.0,,,2.0,2.0,77000.0
argenprop,casa,8.0,Remax Tendencia,Juan Bautista Alberdi 1700,Bernardino Rivadavia,292.0,110.0,3.0,2.0,1.0,85000.0
argenprop,casa,41.0,Remax Tendencia,Mariño 0,Barrio Centro 1,250.0,153.0,5.0,2.0,2.0,150000.0
argenprop,casa,0.0,Remax Tendencia,Runciman 284,Barrio Centro 3,51.0,51.0,3.0,2.0,1.0,40000.0
argenprop,galpón,15.0,Remax Tendencia,Pueyrredon 100,Barrio Centro 1,1000.0,809.0,4.0,3.0,3.0,230000.0
argenprop,casa,48.0,Remax Tendencia,Roca 1600,Barrio Centro 2,183.0,150.0,3.0,2.0,2.0,70000.0
argenprop,departamento,0.0,Remax Tendencia,25 De Mayo 85,Bernardino Rivadavia,48.0,48.0,2.0,1.0,1.0,64000.0
argenprop,departamento,5.0,Remax Tendencia,Dean Funes 400,Barrio Norte,47.0,47.0,2.0,1.0,1.0,46000.0
argenprop,casa,25.0,Remax Tendencia,Italia 2300,Barrio Norte,243.0,110.0,4.0,3.0,2.0,45000.0
argenprop,casa,13.0,Remax Tendencia,Colon 2100,Barrio Centro 2,375.0,182.0,4.0,2.0,2.0,132000.0
argenprop,casa,38.0,Remax Tendencia,Brown 800,Barrio De La Carne,262.0,276.0,4.0,3.0,3.0,
argenprop,casa,29.0,Remax Tendencia,Basualdo 1500,San José Obrero,216.0,157.0,4.0,2.0,1.0,44000.0
argenprop,casa,38.0,Remax Tendencia,Sarmiento 600,Barrio Centro 3,310.0,104.0,5.0,2.0,1.0,
argenprop,casa,56.0,Remax Tendencia,Dante Alighieri 800,Barrio Centro 3,216.0,244.0,4.0,3.0,2.0,180000.0
argenprop,casa,10.0,Remax Tendencia,Gaspar Di Martino 200,Pedro Iturbide,300.0,100.0,4.0,2.0,1.0,47000.0
argenprop,casa,61.0,Remax Tendencia,Paz 100,Bernardino Rivadavia,380.0,61.0,2.0,1.0,1.0,43500.0
argenprop,departamento,,Filippetti Kearney,Alvear 100,Barrio Centro 1,43.0,43.0,2.0,1.0,1.0,85000.0
argenprop,departamento,0.0,Filippetti Kearney,Dante Alighieri 900,Barrio Centro 3,47.0,47.0,2.0,1.0,1.0,65000.0
argenprop,departamento,0.0,Filippetti Kearney,Dante Alighieri 900,Barrio Centro 3,42.0,42.0,2.0,1.0,1.0,68000.0
argenprop,departamento,0.0,Remax Tendencia,25 De Mayo 85,Barrio Centro 1,51.0,51.0,2.0,1.0,1.0,68000.0
argenprop,casa,31.0,Remax Tendencia,Vélez Sársfield 1400,,400.0,178.0,6.0,3.0,2.0,95000.0
argenprop,casa quinta,,Remax Tendencia,Primera Junta 1855 ,Ciudad Nueva,1680.0,,,2.0,1.0,115000.0
argenprop,casa quinta,,Remax Tendencia,Cabo Oscar Alfonzo(Ex 25) 1500,,2516.0,,,3.0,1.0,85000.0
argenprop,casa,45.0,Remax Tendencia,Eva Peron 300,General San Martín,124.0,100.0,3.0,2.0,1.0,43000.0
argenprop,galpón,10.0,Remax Tendencia,Santiago Giubergia 2600,Pedro Iturbide,670.0,,,,2.0,
argenprop,casa,43.0,Remax Tendencia,Urquiza 60,General Belgrano,406.0,151.0,7.0,2.0,1.0,85000.0
argenprop,departamento,0.0,Remax Tendencia,España 660,Barrio Centro 1,78.0,78.0,3.0,2.0,1.0,113219.0
